First Name,Last Name,Title,Company,Website,Person Linkedin Url,segment
Fabio,Zaffagnini,"Rockin'1000 CEO, Creative Director & Founder, Keynote Speaker",rockitboost.com,rockitboost.com,https://linkedin.com/in/fabiozaffagnini,INFLUENCER_PLATFORMS
Delphine,Doxaran,HEAD OF OUTLET - E-commerce Business Owner chez Showroomprive.com,showroom.shopping,showroom.shopping,https://linkedin.com/in/delphinedoxaran,INFLUENCER_PLATFORMS
Ruslan,Shalamov,Co Founder -  Showroom First,showroom.shopping,showroom.shopping,https://linkedin.com/in/ruslan-shalamov-30485916,INFLUENCER_PLATFORMS
Doreen,Tho,CMO and Co-Founder,duotoplay.com,duotoplay.com,https://linkedin.com/in/doreentho,INFLUENCER_PLATFORMS
Nicholas,Douzinas,Dot Play Co-Founder and CGO,duotoplay.com,duotoplay.com,https://linkedin.com/in/douzinas,INFLUENCER_PLATFORMS
Arnab,Neogi,CEO and Founder,indiblogger.in,indiblogger.in,https://linkedin.com/in/arnab-neogi-31043b1a2,INFLUENCER_PLATFORMS
Mitch,Ackmann,President,Afinia Digital,afiniadigital.com,https://linkedin.com/in/mitch-ackmann-b354225,INFLUENCER_PLATFORMS
Charles,Croquigneux,President,koldrive.com,koldrive.com,https://linkedin.com/in/croquignol,INFLUENCER_PLATFORMS
Sébastien,Proulx,"President chez Barons du Froid, President chez Kold Refrigeration, President chez Codapex Technologies Inc.",koldrive.com,koldrive.com,https://linkedin.com/in/s%C3%A9bastien-proulx-67a16429,INFLUENCER_PLATFORMS
Pravin,Koli,Founder and Managing Director,koldrive.com,koldrive.com,https://linkedin.com/in/pravin-koli-2b978423,INFLUENCER_PLATFORMS
Joseph,D.,Co-Founder / CTO,CLKS Digital,clksdigital.com,https://linkedin.com/in/joseph-d-7425081,INFLUENCER_PLATFORMS
Thomas,Da Costa,Co-Founder & Digital Director,CLKS Digital,clksdigital.com,https://linkedin.com/in/thomas-da-costa-26329544,INFLUENCER_PLATFORMS
Gianni,Campinoti,CEO,CLKS Digital,clksdigital.com,https://linkedin.com/in/gianni-campinoti-7b06a96,INFLUENCER_PLATFORMS
Ross,Longhorn,Founder,waveful.com,waveful.com,https://linkedin.com/in/ross-longhorn,INFLUENCER_PLATFORMS
Jason,Kelley,CEO,waveful.com,waveful.com,https://linkedin.com/in/justjasonkelley,INFLUENCER_PLATFORMS
phylis,satin,president,waveful.com,waveful.com,https://linkedin.com/in/phylis-satin-10545842,INFLUENCER_PLATFORMS
Marcin,Rosinski,CEO,Feedaty,zoorate.com,https://linkedin.com/in/marcinrosinski,INFLUENCER_PLATFORMS
Carlo,Platia,Exited Founder & CEO,Feedaty,zoorate.com,https://linkedin.com/in/carloplatia,INFLUENCER_PLATFORMS
Frank,Rissland,CEO,valuedvoice.com,valuedvoice.com,https://linkedin.com/in/frank-rissland-5958b7173,INFLUENCER_PLATFORMS
Jay,O'Connor,CEO,valuedvoice.com,valuedvoice.com,https://linkedin.com/in/jay-o-connor-5a74b,INFLUENCER_PLATFORMS
Parham,Ramezani,CEO & Founder,alist.ae,alist.ae,https://linkedin.com/in/parhamramezani,INFLUENCER_PLATFORMS
Janio,Oliveira,CEO,fiturl.xyz,fiturl.xyz,https://linkedin.com/in/janio-oliveira-0b476899,INFLUENCER_PLATFORMS
Andris,Žiganovs,CEO and Co-founder,fiturl.xyz,fiturl.xyz,https://linkedin.com/in/azhiganov,INFLUENCER_PLATFORMS
Jakub,Biczkowski,CEO,fiturl.xyz,fiturl.xyz,https://linkedin.com/in/kubabiczkowski,INFLUENCER_PLATFORMS
Aditya,Gurwara,Co-Founder - Brand Alliances,Qoruz,terareach.com,https://linkedin.com/in/adityagurwara,INFLUENCER_PLATFORMS
Prabakaran,B,Co-founder & Product,Qoruz,terareach.com,https://linkedin.com/in/prabakaranbs,INFLUENCER_PLATFORMS
Vladimir,Molodykh,CEO in Hive Mind AI,hivehq.ai,hivehq.ai,https://linkedin.com/in/vmolodykh,INFLUENCER_PLATFORMS
Sotüde,Yåri,Founder & CEO @HiveGate.ai I President of Seahorse Agency L.L.C I Razi Foundation in the USA I,hivehq.ai,hivehq.ai,https://linkedin.com/in/sotude-yari,INFLUENCER_PLATFORMS
